Orthogroup	Duplications (all)	Duplications (50% support)
OG0000000	67	67
OG0000001	38	38
OG0000002	30	30
OG0000003	21	19
OG0000004	27	27
OG0000005	24	24
OG0000006	22	22
OG0000007	25	25
OG0000008	19	19
OG0000009	19	19
OG0000010	16	16
OG0000011	17	17
OG0000012	9	9
OG0000013	10	10
OG0000014	13	13
OG0000015	8	6
OG0000016	8	6
OG0000017	12	12
OG0000018	8	8
OG0000019	11	11
OG0000020	9	9
OG0000021	11	11
OG0000022	10	10
OG0000023	10	10
OG0000024	7	7
OG0000025	9	9
OG0000026	4	3
OG0000027	8	8
OG0000028	10	10
OG0000029	7	7
OG0000030	10	10
OG0000031	9	9
OG0000032	7	7
OG0000033	7	7
OG0000034	7	7
OG0000035	6	6
OG0000036	7	7
OG0000037	7	7
OG0000038	6	6
OG0000039	9	9
OG0000040	7	7
OG0000041	5	5
OG0000042	6	6
OG0000043	6	6
OG0000044	5	5
OG0000045	5	5
OG0000046	8	8
OG0000047	8	8
OG0000048	7	7
OG0000049	8	8
OG0000050	8	8
OG0000051	6	6
OG0000052	4	4
OG0000053	4	4
OG0000054	2	2
OG0000055	6	6
OG0000056	3	3
OG0000057	3	3
OG0000058	7	7
OG0000059	7	7
OG0000060	6	6
OG0000061	7	7
OG0000062	7	7
OG0000063	6	6
OG0000064	7	7
OG0000065	7	7
OG0000066	5	5
OG0000067	7	7
OG0000068	7	7
OG0000069	6	6
OG0000070	6	6
OG0000071	4	4
OG0000072	4	4
OG0000073	4	4
OG0000074	4	4
OG0000075	3	3
OG0000076	2	2
OG0000077	6	6
OG0000078	2	2
OG0000079	5	5
OG0000080	4	4
OG0000081	5	5
OG0000082	5	5
OG0000083	3	3
OG0000084	2	2
OG0000085	4	4
OG0000086	3	3
OG0000087	3	3
OG0000088	5	5
OG0000089	4	4
OG0000090	4	4
OG0000091	3	3
OG0000092	3	3
OG0000093	4	4
OG0000094	6	6
OG0000095	6	6
OG0000096	6	6
OG0000097	6	6
OG0000098	6	6
OG0000099	6	6
OG0000100	5	5
OG0000101	5	5
OG0000102	5	5
OG0000103	6	6
OG0000104	6	6
OG0000105	6	6
OG0000106	6	6
OG0000107	6	6
OG0000108	5	5
OG0000109	5	5
OG0000110	3	3
OG0000111	2	1
OG0000112	3	3
OG0000113	3	3
OG0000114	1	1
OG0000115	2	2
OG0000116	2	2
OG0000117	1	1
OG0000118	4	4
OG0000119	4	4
OG0000120	3	3
OG0000121	2	2
OG0000122	1	1
OG0000123	3	3
OG0000124	2	2
OG0000125	1	1
OG0000126	3	3
OG0000127	3	3
OG0000128	3	3
OG0000129	3	3
OG0000130	3	3
OG0000131	2	2
OG0000132	3	3
OG0000133	5	5
OG0000134	2	2
OG0000135	2	2
OG0000136	2	2
OG0000137	4	4
OG0000138	3	3
OG0000139	3	3
OG0000140	4	4
OG0000141	3	3
OG0000142	3	3
OG0000143	2	2
OG0000144	4	4
OG0000145	5	5
OG0000146	5	5
OG0000147	4	4
OG0000148	5	5
OG0000149	5	5
OG0000150	4	4
OG0000151	5	5
OG0000152	5	5
OG0000153	5	5
OG0000154	5	5
OG0000155	5	5
OG0000156	4	4
OG0000157	3	3
OG0000158	4	4
OG0000159	3	3
OG0000160	4	4
OG0000161	5	5
OG0000162	5	5
OG0000163	4	4
OG0000164	4	4
OG0000165	1	1
OG0000166	3	3
OG0000167	1	1
OG0000168	2	2
OG0000169	3	3
OG0000170	4	4
OG0000171	2	2
OG0000172	2	2
OG0000173	2	2
OG0000174	2	2
OG0000175	2	2
OG0000176	2	2
OG0000177	1	1
OG0000178	3	3
OG0000179	2	2
OG0000180	2	2
OG0000181	2	2
OG0000182	1	1
OG0000183	1	1
OG0000184	2	2
OG0000185	4	4
OG0000186	2	2
OG0000187	2	2
OG0000188	1	1
OG0000189	2	2
OG0000190	1	1
OG0000191	2	2
OG0000192	2	2
OG0000193	2	2
OG0000194	2	2
OG0000195	2	2
OG0000196	3	3
OG0000197	2	2
OG0000198	2	2
OG0000199	1	1
OG0000200	4	4
OG0000201	4	4
OG0000202	2	2
OG0000203	2	2
OG0000204	2	2
OG0000205	2	2
OG0000206	1	1
OG0000207	2	2
OG0000208	2	2
OG0000209	1	1
OG0000210	1	1
OG0000211	3	3
OG0000212	2	2
OG0000213	2	2
OG0000214	2	2
OG0000215	3	3
OG0000216	1	1
OG0000217	2	2
OG0000218	2	2
OG0000219	1	1
OG0000220	2	2
OG0000221	1	1
OG0000222	1	1
OG0000223	2	2
OG0000224	2	2
OG0000225	3	3
OG0000226	2	2
OG0000227	1	1
OG0000228	2	2
OG0000229	3	3
OG0000230	2	2
OG0000231	2	2
OG0000232	1	1
OG0000233	1	1
OG0000234	2	2
OG0000235	2	2
OG0000236	2	2
OG0000237	2	2
OG0000238	2	2
OG0000239	2	2
OG0000240	2	2
OG0000241	2	2
OG0000242	2	2
OG0000243	2	2
OG0000244	2	2
OG0000245	2	2
OG0000246	2	2
OG0000247	2	2
OG0000248	2	2
OG0000249	1	1
OG0000250	2	2
OG0000251	1	1
OG0000252	2	2
OG0000253	2	2
OG0000254	3	3
OG0000255	2	2
OG0000256	3	3
OG0000257	4	4
OG0000258	4	4
OG0000259	4	4
OG0000260	4	4
OG0000261	4	4
OG0000262	3	3
OG0000263	4	4
OG0000264	4	4
OG0000265	4	4
OG0000266	4	4
OG0000267	4	4
OG0000268	4	4
OG0000269	4	4
OG0000270	4	4
OG0000271	3	3
OG0000272	3	3
OG0000273	3	3
OG0000274	4	4
OG0000275	4	4
OG0000276	4	4
OG0000277	3	3
OG0000278	3	3
OG0000279	3	3
OG0000280	4	4
OG0000281	4	4
OG0000282	4	4
OG0000283	4	4
OG0000284	3	3
OG0000285	4	4
OG0000286	4	4
OG0000287	4	4
OG0000288	4	4
OG0000289	3	3
OG0000290	3	3
OG0000291	4	4
OG0000292	1	1
OG0000293	1	1
OG0000294	1	1
OG0000295	1	1
OG0000296	1	1
OG0000297	2	2
OG0000298	1	1
OG0000299	1	1
OG0000300	2	2
OG0000301	3	3
OG0000302	1	1
OG0000303	1	1
OG0000304	1	1
OG0000305	1	1
OG0000306	1	1
OG0000307	1	1
OG0000308	1	1
OG0000309	1	1
OG0000310	1	1
OG0000311	3	3
OG0000312	1	1
OG0000313	2	2
OG0000314	1	1
OG0000315	1	1
OG0000316	1	1
OG0000317	1	1
OG0000318	2	2
OG0000319	1	1
OG0000320	1	1
OG0000321	1	1
OG0000322	1	1
OG0000323	1	1
OG0000324	1	1
OG0000325	1	1
OG0000326	1	1
OG0000327	1	1
OG0000328	1	1
OG0000329	1	1
OG0000330	1	1
OG0000331	1	1
OG0000332	1	1
OG0000333	1	1
OG0000334	1	1
OG0000335	1	1
OG0000336	1	1
OG0000337	1	1
OG0000338	2	2
OG0000339	1	1
OG0000340	1	1
OG0000341	1	1
OG0000342	1	1
OG0000343	1	1
OG0000344	1	1
OG0000345	1	1
OG0000346	1	1
OG0000347	1	1
OG0000348	1	1
OG0000349	1	1
OG0000350	1	1
OG0000351	1	1
OG0000352	1	1
OG0000353	1	1
OG0000354	1	1
OG0000355	1	1
OG0000356	1	1
OG0000357	1	1
OG0000358	1	1
OG0000359	1	1
OG0000360	1	1
OG0000361	1	1
OG0000362	1	1
OG0000363	1	1
OG0000364	1	1
OG0000365	3	3
OG0000366	1	1
OG0000367	1	1
OG0000368	1	1
OG0000369	2	2
OG0000370	1	1
OG0000371	1	1
OG0000372	1	1
OG0000373	1	1
OG0000374	1	1
OG0000375	1	1
OG0000376	1	1
OG0000377	1	1
OG0000378	1	1
OG0000379	1	1
OG0000380	1	1
OG0000381	1	1
OG0000382	1	1
OG0000383	1	1
OG0000384	1	1
OG0000385	2	2
OG0000386	1	1
OG0000387	1	1
OG0000388	1	1
OG0000389	1	1
OG0000390	1	1
OG0000391	1	1
OG0000392	2	2
OG0000393	1	1
OG0000394	1	1
OG0000395	1	1
OG0000396	1	1
OG0000397	1	1
OG0000398	1	1
OG0000399	1	1
OG0000400	1	1
OG0000401	1	1
OG0000402	1	1
OG0000403	1	1
OG0000404	1	1
OG0000405	1	1
OG0000406	1	1
OG0000407	1	1
OG0000408	1	1
OG0000409	1	1
OG0000410	1	1
OG0000411	1	1
OG0000412	1	1
OG0000413	1	1
OG0000414	1	1
OG0000415	1	1
OG0000416	1	1
OG0000417	1	1
OG0000418	1	1
OG0000419	1	1
OG0000420	1	1
OG0000421	1	1
OG0000422	1	1
OG0000423	2	2
OG0000424	1	1
OG0000425	1	1
OG0000426	1	1
OG0000427	1	1
OG0000428	1	1
OG0000429	1	1
OG0000430	1	1
OG0000431	1	1
OG0000432	1	1
OG0000433	2	2
OG0000434	1	1
OG0000435	1	1
OG0000436	1	1
OG0000437	1	1
OG0000438	1	1
OG0000439	1	1
OG0000440	1	1
OG0000441	1	1
OG0000442	1	1
OG0000443	2	2
OG0000444	1	1
OG0000445	1	1
OG0000446	1	1
OG0000447	1	1
OG0000448	1	1
OG0000449	1	1
OG0000450	1	1
OG0000451	1	1
OG0000452	1	1
OG0000453	1	1
OG0000454	1	1
OG0000455	1	1
OG0000456	1	1
OG0000457	1	1
OG0000458	2	2
OG0000459	1	1
OG0000460	1	1
OG0000461	2	2
OG0000462	1	1
OG0000463	1	1
OG0000464	1	1
OG0000465	1	1
OG0000466	1	1
OG0000467	1	1
OG0000468	1	1
OG0000469	1	1
OG0000470	1	1
OG0000471	1	1
OG0000472	1	1
OG0000473	1	1
OG0000474	1	1
OG0000475	2	2
OG0000476	1	1
OG0000477	1	1
OG0000478	1	1
OG0000479	1	1
OG0000480	3	3
OG0000481	3	3
OG0000482	3	3
OG0000483	3	3
OG0000484	3	3
OG0000485	3	3
OG0000486	3	3
OG0000487	3	3
OG0000488	3	3
OG0000489	2	2
OG0000490	3	3
OG0000491	3	3
OG0000492	3	3
OG0000493	3	3
OG0000494	3	3
OG0000495	3	3
OG0000496	2	2
OG0000497	3	3
OG0000498	2	2
OG0000499	3	3
OG0000500	3	3
OG0000501	2	2
OG0000502	2	2
OG0000503	2	2
OG0000504	3	3
OG0000505	2	2
OG0000506	1	1
OG0000507	3	3
OG0000508	2	2
OG0000509	3	3
OG0000510	2	2
OG0000511	2	2
OG0000512	3	3
OG0000513	2	2
OG0000514	3	3
OG0000515	3	3
OG0000516	2	2
OG0000517	2	2
OG0000518	2	2
OG0000519	2	2
OG0000520	2	2
OG0000521	2	2
OG0000522	2	2
OG0000523	2	2
OG0000524	2	2
OG0000525	3	3
OG0000526	3	3
OG0000527	2	2
OG0000528	2	2
OG0000529	3	3
OG0000530	3	3
OG0000531	2	2
OG0000532	3	3
OG0000533	3	3
OG0000534	3	3
OG0000535	3	3
OG0000536	2	2
OG0000537	2	2
OG0000538	3	3
OG0000539	2	2
OG0000540	2	2
OG0000541	1	1
OG0000542	2	2
OG0000543	3	3
OG0000544	3	3
OG0000545	2	2
OG0000546	2	2
OG0000547	2	2
OG0000548	3	3
