Orthogroup	Cyanobacterium_aponinum_pcc_10605.ASM31767v1	Nostoc_punctiforme_pcc_73102.ASM2002v1	Oscillatoriales_cyanobacterium_jsc_12.ASM30994v1	Total
OG0000000	0	0	68	68
OG0000001	0	0	39	39
OG0000002	0	31	2	33
OG0000003	19	9	2	30
OG0000004	0	28	0	28
OG0000005	1	25	1	27
OG0000006	23	1	2	26
OG0000007	0	26	0	26
OG0000008	0	20	1	21
OG0000009	0	20	1	21
OG0000010	1	13	6	20
OG0000011	0	18	0	18
OG0000012	2	7	7	16
OG0000013	9	5	1	15
OG0000014	0	2	13	15
OG0000015	2	8	4	14
OG0000016	8	2	4	14
OG0000017	13	1	0	14
OG0000018	2	2	9	13
OG0000019	12	1	0	13
OG0000020	2	10	1	13
OG0000021	12	0	0	12
OG0000022	0	11	1	12
OG0000023	0	11	1	12
OG0000024	4	5	2	11
OG0000025	10	0	1	11
OG0000026	5	3	3	11
OG0000027	1	9	1	11
OG0000028	0	11	0	11
OG0000029	0	8	3	11
OG0000030	0	11	0	11
OG0000031	0	10	1	11
OG0000032	0	4	7	11
OG0000033	8	1	1	10
OG0000034	1	8	1	10
OG0000035	2	6	2	10
OG0000036	8	1	1	10
OG0000037	4	6	0	10
OG0000038	1	7	2	10
OG0000039	0	10	0	10
OG0000040	0	7	3	10
OG0000041	2	4	3	9
OG0000042	4	4	1	9
OG0000043	2	6	1	9
OG0000044	6	2	1	9
OG0000045	1	6	2	9
OG0000046	0	9	0	9
OG0000047	0	9	0	9
OG0000048	0	8	1	9
OG0000049	0	0	9	9
OG0000050	0	0	9	9
OG0000051	7	1	0	8
OG0000052	3	4	1	8
OG0000053	2	5	1	8
OG0000054	3	3	2	8
OG0000055	7	0	1	8
OG0000056	2	3	3	8
OG0000057	2	4	2	8
OG0000058	0	8	0	8
OG0000059	0	8	0	8
OG0000060	0	7	1	8
OG0000061	0	8	0	8
OG0000062	0	8	0	8
OG0000063	0	7	1	8
OG0000064	0	8	0	8
OG0000065	0	8	0	8
OG0000066	0	6	2	8
OG0000067	0	8	0	8
OG0000068	0	8	0	8
OG0000069	7	0	0	7
OG0000070	7	0	0	7
OG0000071	1	5	1	7
OG0000072	1	5	1	7
OG0000073	1	5	1	7
OG0000074	5	1	1	7
OG0000075	1	2	4	7
OG0000076	3	3	1	7
OG0000077	7	0	0	7
OG0000078	2	3	2	7
OG0000079	4	0	3	7
OG0000080	1	2	4	7
OG0000081	6	0	1	7
OG0000082	2	5	0	7
OG0000083	3	3	1	7
OG0000084	3	2	2	7
OG0000085	1	5	1	7
OG0000086	1	3	3	7
OG0000087	4	1	2	7
OG0000088	1	6	0	7
OG0000089	1	5	1	7
OG0000090	1	2	4	7
OG0000091	1	3	3	7
OG0000092	1	2	4	7
OG0000093	1	5	1	7
OG0000094	0	7	0	7
OG0000095	0	7	0	7
OG0000096	0	7	0	7
OG0000097	0	7	0	7
OG0000098	0	7	0	7
OG0000099	0	7	0	7
OG0000100	0	6	1	7
OG0000101	0	6	1	7
OG0000102	0	6	1	7
OG0000103	0	7	0	7
OG0000104	0	7	0	7
OG0000105	0	7	0	7
OG0000106	0	7	0	7
OG0000107	0	7	0	7
OG0000108	0	2	5	7
OG0000109	0	6	1	7
OG0000110	3	2	1	6
OG0000111	2	3	1	6
OG0000112	2	3	1	6
OG0000113	1	4	1	6
OG0000114	2	2	2	6
OG0000115	1	2	3	6
OG0000116	2	3	1	6
OG0000117	2	2	2	6
OG0000118	5	1	0	6
OG0000119	5	0	1	6
OG0000120	3	1	2	6
OG0000121	2	2	2	6
OG0000122	2	2	2	6
OG0000123	1	4	1	6
OG0000124	2	3	1	6
OG0000125	2	2	2	6
OG0000126	1	1	4	6
OG0000127	3	1	2	6
OG0000128	1	4	1	6
OG0000129	1	4	1	6
OG0000130	1	4	1	6
OG0000131	1	3	2	6
OG0000132	2	2	2	6
OG0000133	6	0	0	6
OG0000134	1	2	3	6
OG0000135	3	1	2	6
OG0000136	1	3	2	6
OG0000137	1	5	0	6
OG0000138	1	1	4	6
OG0000139	2	4	0	6
OG0000140	1	5	0	6
OG0000141	2	3	1	6
OG0000142	1	4	1	6
OG0000143	1	2	3	6
OG0000144	1	5	0	6
OG0000145	0	6	0	6
OG0000146	0	6	0	6
OG0000147	0	5	1	6
OG0000148	0	6	0	6
OG0000149	0	6	0	6
OG0000150	0	5	1	6
OG0000151	0	6	0	6
OG0000152	0	6	0	6
OG0000153	0	6	0	6
OG0000154	0	6	0	6
OG0000155	0	6	0	6
OG0000156	0	5	1	6
OG0000157	0	4	2	6
OG0000158	0	5	1	6
OG0000159	0	2	4	6
OG0000160	0	5	1	6
OG0000161	0	6	0	6
OG0000162	0	6	0	6
OG0000163	0	1	5	6
OG0000164	0	5	1	6
OG0000165	2	1	2	5
OG0000166	4	0	1	5
OG0000167	1	2	2	5
OG0000168	3	1	1	5
OG0000169	1	4	0	5
OG0000170	5	0	0	5
OG0000171	3	1	1	5
OG0000172	3	1	1	5
OG0000173	2	1	2	5
OG0000174	3	2	0	5
OG0000175	1	1	3	5
OG0000176	3	1	1	5
OG0000177	1	2	2	5
OG0000178	3	2	0	5
OG0000179	3	1	1	5
OG0000180	3	1	1	5
OG0000181	1	2	2	5
OG0000182	1	2	2	5
OG0000183	1	2	2	5
OG0000184	1	3	1	5
OG0000185	5	0	0	5
OG0000186	1	3	1	5
OG0000187	2	2	1	5
OG0000188	1	2	2	5
OG0000189	1	3	1	5
OG0000190	2	2	1	5
OG0000191	1	2	2	5
OG0000192	1	3	1	5
OG0000193	1	3	1	5
OG0000194	3	1	1	5
OG0000195	1	3	1	5
OG0000196	1	4	0	5
OG0000197	1	3	1	5
OG0000198	3	0	2	5
OG0000199	1	2	2	5
OG0000200	5	0	0	5
OG0000201	5	0	0	5
OG0000202	1	3	1	5
OG0000203	1	3	1	5
OG0000204	3	1	1	5
OG0000205	3	1	1	5
OG0000206	1	2	2	5
OG0000207	3	1	1	5
OG0000208	1	2	2	5
OG0000209	2	1	2	5
OG0000210	2	1	2	5
OG0000211	1	4	0	5
OG0000212	3	1	1	5
OG0000213	1	3	1	5
OG0000214	2	1	2	5
OG0000215	1	4	0	5
OG0000216	2	1	2	5
OG0000217	1	3	1	5
OG0000218	1	3	1	5
OG0000219	1	2	2	5
OG0000220	2	2	1	5
OG0000221	1	2	2	5
OG0000222	1	2	2	5
OG0000223	3	1	1	5
OG0000224	3	1	1	5
OG0000225	1	4	0	5
OG0000226	1	2	2	5
OG0000227	1	2	2	5
OG0000228	3	1	1	5
OG0000229	3	2	0	5
OG0000230	1	2	2	5
OG0000231	1	3	1	5
OG0000232	1	2	2	5
OG0000233	2	1	2	5
OG0000234	1	3	1	5
OG0000235	1	3	1	5
OG0000236	1	3	1	5
OG0000237	1	3	1	5
OG0000238	1	3	1	5
OG0000239	1	3	1	5
OG0000240	3	1	1	5
OG0000241	1	1	3	5
OG0000242	1	3	1	5
OG0000243	2	2	1	5
OG0000244	1	3	1	5
OG0000245	1	3	1	5
OG0000246	1	3	1	5
OG0000247	1	3	1	5
OG0000248	2	2	1	5
OG0000249	1	2	2	5
OG0000250	1	3	1	5
OG0000251	1	2	2	5
OG0000252	1	3	1	5
OG0000253	1	1	3	5
OG0000254	1	4	0	5
OG0000255	1	2	2	5
OG0000256	0	3	2	5
OG0000257	0	5	0	5
OG0000258	0	5	0	5
OG0000259	0	5	0	5
OG0000260	0	5	0	5
OG0000261	0	5	0	5
OG0000262	0	4	1	5
OG0000263	0	5	0	5
OG0000264	0	5	0	5
OG0000265	0	5	0	5
OG0000266	0	5	0	5
OG0000267	0	5	0	5
OG0000268	0	5	0	5
OG0000269	0	5	0	5
OG0000270	0	5	0	5
OG0000271	0	4	1	5
OG0000272	0	4	1	5
OG0000273	0	4	1	5
OG0000274	0	5	0	5
OG0000275	0	5	0	5
OG0000276	0	5	0	5
OG0000277	0	4	1	5
OG0000278	0	4	1	5
OG0000279	0	4	1	5
OG0000280	0	5	0	5
OG0000281	0	5	0	5
OG0000282	0	5	0	5
OG0000283	0	5	0	5
OG0000284	0	3	2	5
OG0000285	0	5	0	5
OG0000286	0	5	0	5
OG0000287	0	5	0	5
OG0000288	0	5	0	5
OG0000289	0	3	2	5
OG0000290	0	1	4	5
OG0000291	0	0	5	5
OG0000292	2	1	1	4
OG0000293	2	1	1	4
OG0000294	2	1	1	4
OG0000295	1	2	1	4
OG0000296	1	2	1	4
OG0000297	1	3	0	4
OG0000298	1	2	1	4
OG0000299	1	2	1	4
OG0000300	2	2	0	4
OG0000301	4	0	0	4
OG0000302	2	1	1	4
OG0000303	1	2	1	4
OG0000304	2	1	1	4
OG0000305	2	1	1	4
OG0000306	1	2	1	4
OG0000307	1	2	1	4
OG0000308	1	2	1	4
OG0000309	2	1	1	4
OG0000310	2	1	1	4
OG0000311	4	0	0	4
OG0000312	1	2	1	4
OG0000313	2	2	0	4
OG0000314	2	1	1	4
OG0000315	1	1	2	4
OG0000316	1	2	1	4
OG0000317	2	1	1	4
OG0000318	2	0	2	4
OG0000319	2	1	1	4
OG0000320	2	1	1	4
OG0000321	2	1	1	4
OG0000322	1	2	1	4
OG0000323	2	1	1	4
OG0000324	1	2	1	4
OG0000325	1	2	1	4
OG0000326	2	1	1	4
OG0000327	2	1	1	4
OG0000328	1	1	2	4
OG0000329	1	1	2	4
OG0000330	2	1	1	4
OG0000331	1	1	2	4
OG0000332	1	2	1	4
OG0000333	2	1	1	4
OG0000334	1	1	2	4
OG0000335	1	1	2	4
OG0000336	2	1	1	4
OG0000337	1	2	1	4
OG0000338	3	0	1	4
OG0000339	2	1	1	4
OG0000340	2	1	1	4
OG0000341	2	1	1	4
OG0000342	1	2	1	4
OG0000343	2	1	1	4
OG0000344	2	1	1	4
OG0000345	1	2	1	4
OG0000346	1	1	2	4
OG0000347	1	2	1	4
OG0000348	2	1	1	4
OG0000349	2	1	1	4
OG0000350	1	1	2	4
OG0000351	1	1	2	4
OG0000352	1	2	1	4
OG0000353	1	2	1	4
OG0000354	2	1	1	4
OG0000355	1	2	1	4
OG0000356	2	1	1	4
OG0000357	1	2	1	4
OG0000358	1	2	1	4
OG0000359	2	1	1	4
OG0000360	1	2	1	4
OG0000361	1	2	1	4
OG0000362	1	2	1	4
OG0000363	1	2	1	4
OG0000364	1	1	2	4
OG0000365	4	0	0	4
OG0000366	2	1	1	4
OG0000367	1	2	1	4
OG0000368	1	2	1	4
OG0000369	1	3	0	4
OG0000370	2	1	1	4
OG0000371	1	2	1	4
OG0000372	2	1	1	4
OG0000373	1	1	2	4
OG0000374	1	2	1	4
OG0000375	1	1	2	4
OG0000376	1	1	2	4
OG0000377	2	1	1	4
OG0000378	1	1	2	4
OG0000379	2	1	1	4
OG0000380	2	1	1	4
OG0000381	2	1	1	4
OG0000382	2	1	1	4
OG0000383	1	2	1	4
OG0000384	1	1	2	4
OG0000385	1	3	0	4
OG0000386	1	2	1	4
OG0000387	1	2	1	4
OG0000388	1	1	2	4
OG0000389	1	1	2	4
OG0000390	1	1	2	4
OG0000391	2	1	1	4
OG0000392	1	3	0	4
OG0000393	1	2	1	4
